epoch,train_loss,train_acc,test_loss,test_acc
1,1.8457,0.3688,1.5322,0.5258
2,1.6438,0.4776,1.4148,0.5953
3,1.57,0.5161,1.3152,0.6474
4,1.5127,0.5498,1.3108,0.6591
5,1.4718,0.5752,1.2884,0.6577
6,1.4433,0.5894,1.2735,0.6708
7,1.4149,0.6039,1.1653,0.7336
8,1.3912,0.6182,1.1674,0.7203
9,1.3762,0.6232,1.1453,0.7348
10,1.3575,0.6346,1.1621,0.7181
11,1.3436,0.6452,1.1119,0.7503
12,1.3292,0.6504,1.09,0.7705
13,1.3185,0.6569,1.1131,0.7552
14,1.3033,0.662,1.1051,0.7606
15,1.296,0.6652,1.0749,0.7714
16,1.2844,0.6773,1.0521,0.786
17,1.2706,0.6834,1.0311,0.7902
18,1.2648,0.6864,1.0921,0.7653
19,1.2516,0.6968,1.0391,0.7933
20,1.2447,0.6995,1.0187,0.7987
21,1.2313,0.7067,1.015,0.7995
22,1.2193,0.712,1.0134,0.7991
23,1.2056,0.7226,1.011,0.8021
24,1.1982,0.7238,0.9948,0.8074
25,1.1886,0.7324,0.9881,0.8086
26,1.1834,0.7372,0.9997,0.807
27,1.1758,0.738,0.9853,0.8155
28,1.1652,0.7433,1.0068,0.8037
29,1.1567,0.7486,0.9835,0.8114
30,1.1558,0.7492,0.9693,0.8196
