epoch,train_loss,train_acc,test_loss,test_acc
1,1.5758,0.4237,1.2568,0.5427
2,1.2037,0.5688,1.0225,0.6355
3,1.0413,0.6307,0.9001,0.6825
4,0.9351,0.6687,0.8931,0.6893
5,0.8627,0.6966,0.7793,0.7255
6,0.8118,0.7124,0.7701,0.735
7,0.764,0.7333,0.744,0.7415
8,0.7328,0.744,0.6821,0.7665
9,0.7016,0.7555,0.674,0.7679
10,0.6718,0.764,0.6741,0.7625
11,0.6539,0.7706,0.6379,0.78
12,0.6289,0.7793,0.6428,0.7796
13,0.609,0.7875,0.6872,0.7636
14,0.5933,0.7927,0.6235,0.7903
15,0.5775,0.7978,0.5895,0.799
16,0.5704,0.8019,0.6129,0.7895
17,0.5611,0.8039,0.5885,0.7988
18,0.5426,0.8092,0.5729,0.8057
19,0.5395,0.8108,0.5983,0.7992
20,0.5189,0.8182,0.5927,0.8016
21,0.5093,0.8221,0.5865,0.7985
22,0.5015,0.8251,0.5788,0.8016
23,0.491,0.8288,0.597,0.8058
24,0.4896,0.8293,0.5776,0.8044
25,0.4836,0.8304,0.5525,0.8169
26,0.4706,0.8352,0.5705,0.8149
27,0.4701,0.8351,0.5746,0.8088
28,0.4605,0.8373,0.5591,0.8172
29,0.4536,0.8418,0.5686,0.8138
30,0.4448,0.8448,0.5745,0.8114
