epoch,train_loss,train_acc,test_loss,test_acc
1,1.3584,0.5102,1.082,0.6154
2,0.9347,0.6717,0.8859,0.6893
3,0.7551,0.7368,0.7819,0.7252
4,0.6251,0.7808,0.7725,0.7284
5,0.5152,0.82,0.7781,0.737
6,0.4126,0.8554,0.8057,0.7412
7,0.3126,0.8905,0.814,0.7496
8,0.2261,0.9226,0.9282,0.7463
9,0.1558,0.945,1.1126,0.7379
10,0.1207,0.9579,1.1888,0.7437
11,0.0977,0.9664,1.3603,0.7392
12,0.0757,0.9743,1.3968,0.7357
13,0.074,0.9744,1.7438,0.7217
14,0.0736,0.974,1.621,0.7305
15,0.0721,0.975,1.5528,0.7381
16,0.0577,0.9804,1.6343,0.7358
17,0.0554,0.9814,1.7435,0.7343
18,0.0588,0.9797,1.7633,0.7278
19,0.0504,0.9829,1.8221,0.7347
20,0.0602,0.9787,2.0174,0.7298
21,0.0463,0.9842,1.9091,0.734
22,0.0416,0.9861,1.9827,0.7375
23,0.0466,0.9843,2.1151,0.739
24,0.0501,0.983,2.0965,0.7337
25,0.0475,0.9848,2.1496,0.7254
26,0.0458,0.985,2.1424,0.7327
27,0.0364,0.9878,2.2353,0.7296
28,0.0386,0.9874,2.2247,0.7318
29,0.0368,0.9876,2.2486,0.7345
30,0.0423,0.9861,2.2857,0.7277
