epoch,train_loss,train_acc,test_loss,test_acc
1,1.165,0.5845,0.9012,0.6823
2,0.7955,0.7203,0.8141,0.7191
3,0.6645,0.7674,0.7505,0.7441
4,0.5709,0.7992,0.7628,0.7381
5,0.4843,0.8307,0.7328,0.7542
6,0.4145,0.8546,0.8008,0.7478
7,0.3438,0.8795,0.7621,0.757
8,0.2853,0.9014,0.7667,0.7665
9,0.2265,0.922,0.7983,0.7614
10,0.1829,0.9357,0.8346,0.7681
11,0.1403,0.9534,0.9262,0.764
12,0.121,0.9583,0.9982,0.7591
13,0.0979,0.9666,1.0432,0.7619
14,0.0873,0.9705,1.0358,0.7651
15,0.074,0.9747,1.0755,0.7701
16,0.0685,0.9775,1.1973,0.758
17,0.0591,0.9793,1.3268,0.7433
18,0.066,0.9767,1.1847,0.7743
19,0.0604,0.9802,1.3448,0.7487
20,0.0528,0.9821,1.2705,0.7613
21,0.0489,0.9837,1.351,0.7576
22,0.0522,0.9823,1.3181,0.7606
23,0.047,0.9837,1.2706,0.7791
24,0.0371,0.987,1.4273,0.7631
25,0.0415,0.9852,1.3696,0.7676
26,0.0388,0.9871,1.3774,0.7747
27,0.0454,0.9846,1.3729,0.7662
28,0.0304,0.99,1.4859,0.7663
29,0.0366,0.9876,1.5322,0.7568
30,0.0353,0.9879,1.4316,0.774
