epoch,train_loss,train_acc,test_loss,test_acc
1,1.5597,0.4332,1.198,0.5651
2,1.1845,0.5818,0.9827,0.6524
3,1.0254,0.6414,0.8852,0.6912
4,0.91,0.6839,0.8516,0.7017
5,0.8263,0.7135,0.8216,0.7169
6,0.746,0.7389,0.7758,0.7304
7,0.6868,0.7589,0.7231,0.75
8,0.6222,0.7803,0.7344,0.7469
9,0.5696,0.7979,0.7677,0.7537
10,0.5235,0.815,0.7821,0.744
11,0.4798,0.8267,0.7485,0.7637
12,0.4425,0.8391,0.8152,0.7518
13,0.4171,0.8497,0.8023,0.7558
14,0.3859,0.8575,0.8388,0.7599
15,0.3563,0.8699,0.8697,0.758
16,0.3296,0.879,0.8877,0.7578
17,0.3152,0.8816,0.9213,0.7551
18,0.2937,0.891,0.9631,0.7588
19,0.2804,0.8947,0.9871,0.7541
20,0.26,0.9012,1.074,0.7632
21,0.2598,0.9012,1.0799,0.7579
22,0.2411,0.9085,1.0803,0.7633
23,0.239,0.9107,1.1558,0.7558
24,0.2253,0.9156,1.1247,0.759
25,0.226,0.9154,1.1373,0.7596
26,0.2217,0.9157,1.1341,0.7594
27,0.208,0.9207,1.2744,0.7586
28,0.2029,0.9245,1.1919,0.7587
29,0.1931,0.9267,1.2726,0.7585
30,0.1951,0.9273,1.321,0.7633
