epoch,train_loss,train_acc,test_loss,test_acc
1,1.5605,0.5177,1.3346,0.6295
2,1.2309,0.6823,1.1824,0.7083
3,1.095,0.7509,1.123,0.7315
4,1.0006,0.7968,1.1137,0.7411
5,0.9209,0.8387,1.0993,0.7534
6,0.8465,0.879,1.1058,0.757
7,0.7723,0.9178,1.1082,0.7569
8,0.7124,0.9529,1.124,0.7553
9,0.6605,0.9784,1.1341,0.7585
10,0.6245,0.992,1.1521,0.7586
11,0.6,0.9973,1.1384,0.7616
12,0.5836,0.9986,1.1307,0.7618
13,0.5706,0.9997,1.1587,0.752
14,0.5628,0.9998,1.149,0.7549
15,0.5573,0.9998,1.1511,0.7559
16,0.5543,0.9998,1.1574,0.7558
17,0.5515,0.9999,1.163,0.7533
18,0.551,0.9999,1.1601,0.747
19,0.5509,0.9999,1.1656,0.752
20,0.5469,0.9999,1.1658,0.7487
21,0.5442,1.0,1.1604,0.7501
22,0.5403,1.0,1.1662,0.7486
23,0.5379,1.0,1.1577,0.7473
24,0.5377,1.0,1.1634,0.7446
25,0.5399,1.0,1.1769,0.7448
26,0.5376,1.0,1.1537,0.7499
27,0.5338,1.0,1.1517,0.7492
28,0.531,1.0,1.1507,0.7476
29,0.5302,1.0,1.164,0.7432
30,0.5301,1.0,1.1664,0.7439
